Pathaan,https://www.imdb.com/title/tt12844910/?ref_=adv_li_tt,1
Thunivu,https://www.imdb.com/title/tt15163652/?ref_=adv_li_tt,2
Shehzada,https://www.imdb.com/title/tt13130948/?ref_=adv_li_tt,3
Class,https://www.imdb.com/title/tt22297684/?ref_=adv_li_tt,4
The Night Manager,https://www.imdb.com/title/tt15576504/?ref_=adv_li_tt,5
All That Breathes,https://www.imdb.com/title/tt16377862/?ref_=adv_li_tt,6
An Action Hero,https://www.imdb.com/title/tt15600222/?ref_=adv_li_tt,7
Vadh,https://www.imdb.com/title/tt10233718/?ref_=adv_li_tt,8
Cirkus,https://www.imdb.com/title/tt11112808/?ref_=adv_li_tt,9
The Family Man,https://www.imdb.com/title/tt9544034/?ref_=adv_li_tt,10
Mission Majnu,https://www.imdb.com/title/tt13131232/?ref_=adv_li_tt,11
Salaam Venky,https://www.imdb.com/title/tt15567704/?ref_=adv_li_tt,12
3 Idiots,https://www.imdb.com/title/tt1187043/?ref_=adv_li_tt,13
Drishyam 2,https://www.imdb.com/title/tt15501640/?ref_=adv_li_tt,14
Chhatriwali,https://www.imdb.com/title/tt15516226/?ref_=adv_li_tt,15
Minus One: New Chapter,https://www.imdb.com/title/tt26450741/?ref_=adv_li_tt,16
Life of Pi,https://www.imdb.com/title/tt0454876/?ref_=adv_li_tt,17
Bhediya,https://www.imdb.com/title/tt14099334/?ref_=adv_li_tt,18
Lion,https://www.imdb.com/title/tt3741834/?ref_=adv_li_tt,19
Dilwale Dulhania Le Jayenge,https://www.imdb.com/title/tt0112870/?ref_=adv_li_tt,20
Lost,https://www.imdb.com/title/tt15048606/?ref_=adv_li_tt,21
War,https://www.imdb.com/title/tt7430722/?ref_=adv_li_tt,22
Gandhi Godse Ek Yudh,https://www.imdb.com/title/tt13801462/?ref_=adv_li_tt,23
Vikram Vedha,https://www.imdb.com/title/tt13131350/?ref_=adv_li_tt,24
Trial by Fire,https://www.imdb.com/title/tt11611698/?ref_=adv_li_tt,25
Freddy,https://www.imdb.com/title/tt15145764/?ref_=adv_li_tt,26
Taaza Khabar,https://www.imdb.com/title/tt22014226/?ref_=adv_li_tt,27
Malikappuram,https://www.imdb.com/title/tt22037066/?ref_=adv_li_tt,28
The Man Who Knew Infinity,https://www.imdb.com/title/tt0787524/?ref_=adv_li_tt,29
Gangs of Wasseypur,https://www.imdb.com/title/tt1954470/?ref_=adv_li_tt,30
Qala,https://www.imdb.com/title/tt14428598/?ref_=adv_li_tt,31
Govinda Naam Mera,https://www.imdb.com/title/tt16077702/?ref_=adv_li_tt,32
Panchayat,https://www.imdb.com/title/tt12004706/?ref_=adv_li_tt,33
The BFG,https://www.imdb.com/title/tt3691740/?ref_=adv_li_tt,34
TVF Pitchers,https://www.imdb.com/title/tt4742876/?ref_=adv_li_tt,35
Sacred Games,https://www.imdb.com/title/tt6077448/?ref_=adv_li_tt,36
The Darjeeling Limited,https://www.imdb.com/title/tt0838221/?ref_=adv_li_tt,37
Gandhi,https://www.imdb.com/title/tt0083987/?ref_=adv_li_tt,38
Mirzapur,https://www.imdb.com/title/tt6473300/?ref_=adv_li_tt,39
Scam 1992: The Harshad Mehta Story,https://www.imdb.com/title/tt12392504/?ref_=adv_li_tt,40
"Monica, O My Darling",https://www.imdb.com/title/tt15128068/?ref_=adv_li_tt,41
Drishyam,https://www.imdb.com/title/tt4430212/?ref_=adv_li_tt,42
Jehanabad - Of Love & War,https://www.imdb.com/title/tt25375470/?ref_=adv_li_tt,43
Like Stars on Earth,https://www.imdb.com/title/tt0986264/?ref_=adv_li_tt,44
My Name Is Khan,https://www.imdb.com/title/tt1188996/?ref_=adv_li_tt,45
Jawan,https://www.imdb.com/title/tt15354916/?ref_=adv_li_tt,46
Kota Factory,https://www.imdb.com/title/tt9432978/?ref_=adv_li_tt,47
Fursat,https://www.imdb.com/title/tt26446979/?ref_=adv_li_tt,48
Vikram,https://www.imdb.com/title/tt9179430/?ref_=adv_li_tt,49
